                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0509,                 4.1294,                 3.8892,                0.01097,                0.42856,                0.02525,                0.00668,                 2.8864,                  4.397,                 3.5467,             0.00047501,             0.00047501,             0.00047501
                      2,                 2.5846,                 3.6733,                 3.1628,                0.17321,                0.14199,                 0.0692,                0.02725,                 2.4453,                 3.5885,                 2.9549,             0.00085716,             0.00085716,             0.00085716
                      3,                 2.3577,                 3.3485,                 2.8541,                0.16509,                0.16267,                0.08509,                 0.0355,                 2.3551,                 3.3396,                 2.9106,               0.001145,               0.001145,               0.001145
                      4,                  2.259,                 3.1539,                 2.7496,                0.19879,                0.15821,                0.08556,                0.03402,                 2.3433,                 3.2192,                 2.7681,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.1521,                 2.9627,                 2.6312,                0.19262,                0.21847,                 0.1168,                0.04921,                 2.2644,                 3.1311,                 2.7422,              0.0010046,              0.0010046,              0.0010046
                      6,                 2.0864,                 2.8442,                 2.5478,                0.25088,                0.24066,                0.15005,                0.06525,                 2.1389,                 2.8452,                 2.5993,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.9967,                 2.7422,                 2.4896,                0.26592,                0.24984,                0.15653,                0.07206,                 2.1127,                 2.8121,                  2.598,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.9401,                 2.6638,                 2.4289,                0.27709,                0.30345,                0.19984,                0.09505,                 2.0023,                 2.6208,                 2.4618,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.8934,                 2.5892,                 2.3754,                0.31685,                0.31059,                0.21765,                 0.1076,                 1.9612,                  2.539,                 2.4081,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.8653,                 2.5227,                 2.3411,                0.32442,                0.33815,                0.23602,                0.11895,                  1.903,                  2.454,                 2.3483,             0.00029723,             0.00029723,             0.00029723
