                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6428,                  2.183,                 2.1125,                0.38731,                0.40767,                0.32797,                0.17697,                 1.7035,                 2.1738,                 2.1547,             0.00047501,             0.00047501,             0.00047501
                      2,                 1.6822,                 2.2673,                 2.1457,                0.39064,                0.39694,                0.31755,                0.16961,                  1.747,                 2.2055,                 2.1805,             0.00085716,             0.00085716,             0.00085716
                      3,                 1.6971,                 2.2759,                 2.1648,                0.34868,                0.37521,                0.28509,                0.15018,                 1.7335,                 2.3099,                  2.191,               0.001145,               0.001145,               0.001145
                      4,                 1.6978,                 2.2714,                 2.1628,                 0.3636,                0.36219,                0.28847,                0.14884,                 1.7561,                 2.4052,                 2.1679,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.6632,                 2.2392,                 2.1251,                0.40035,                0.40895,                0.33608,                 0.1816,                 1.6951,                  2.168,                  2.138,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.6482,                   2.19,                 2.1028,                0.38767,                 0.4008,                0.34116,                0.18651,                  1.679,                 2.1254,                 2.1118,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.6097,                 2.1316,                  2.082,                0.41914,                0.41961,                 0.3607,                0.20169,                 1.6231,                 2.1063,                 2.0638,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.5689,                 2.0859,                  2.043,                0.44232,                0.43799,                0.38489,                0.22135,                 1.5892,                 1.9824,                 2.0195,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.5551,                 2.0424,                 2.0309,                0.44218,                0.44904,                    0.4,                0.23587,                 1.5666,                 1.9488,                 2.0017,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.5228,                 1.9928,                 1.9949,                0.47733,                 0.4664,                0.42402,                0.25202,                 1.5374,                 1.8834,                 1.9689,             0.00029723,             0.00029723,             0.00029723
